Year,1,2,3,4,5,6,7,8,9,10,11,12
1962,4.80354929,3.873572111,5.278065205,7.169669151,7.455163956,-1.999998927,2.90967989,4.833871841,4.093335629,5.857098103,5.131001949,0.268389791
1963,4.985485554,1.86678803,5.480001926,7.449334621,2.369357109,-0.177331537,3.164195776,-0.27322486,2.328000784,3.76903367,5.308001518,4.263549328
1964,0.07742162,4.292069435,4.948711395,3.036667347,1.331615806,-0.351998895,1.910969377,0.954196095,7.716001034,8.769033432,2.147667408,0.55742228
1965,0.373873323,0.448931009,1.586452842,3.208668947,1.365162969,5.292999744,3.139034033,1.156453252,3.243000269,2.869679213,5.013668537,-1.525804043
1966,2.955162287,3.79321456,1.337097645,5.69600153,-2.508385897,2.059668064,3.390970469,4.711935997,5.548667908,5.833872795,3.572001696,3.60354948
1967,1.670969844,5.858931541,5.313873768,1.955335975,1.954194546,1.94833529,3.357098103,1.534517884,2.797334909,4.800645828,3.420668602,-1.80741787
1968,2.42645216,4.165173531,4.698712349,5.234001637,1.876453519,3.764001369,3.965162277,6.190646172,1.600667834,5.319678783,2.669669628,1.668067694
1969,-0.226127878,1.696787715,2.168711424,5.377670288,5.357421398,4.824334145,2.885808229,0.750969172,6.197667122,4.265485287,6.63333416,3.656130791
1970,3.733225584,1.051430345,3.92161417,4.951668262,2.824193239,4.364667416,4.17483902,4.962905884,7.800001144,6.130324364,3.149002552,-0.119353756
1971,0.384840429,4.720716,5.241292477,5.548668385,5.764839649,4.496667385,2.244517088,5.03258276,5.435000896,4.440967083,3.897000551,3.231290817
1972,-3.464190483,1.511725068,2.74935627,1.932001233,5.457419872,3.471667051,1.410001159,4.400969505,3.796001673,3.523226738,0.644668043,5.144839764
1973,1.862260938,1.512501836,6.69161272,7.047668457,3.650323629,-0.461999506,5.237099648,1.332904935,4.122001648,5.033873081,5.331666946,2.826130629
1974,0.192904562,5.788572788,8.646130562,-0.492998749,4.080325603,4.329000473,4.957421303,1.827420592,5.938667774,4.22516346,1.189668298,2.908712626
1975,0.486776054,3.355716705,6.236774445,7.741000652,1.786453247,2.730335951,2.573549747,3.945162773,5.166000843,6.477419853,4.212666988,4.45871067
1976,0.366130203,4.409313202,6.034517288,4.945335865,7.7696805,4.909001827,6.055484772,4.592905521,6.597670078,9.63451767,6.609335423,-1.950320363
1977,0.421937525,4.71143055,3.799356699,1.244668603,5.813551903,2.58933568,5.326130867,5.156775475,6.705002308,4.906775951,6.514334679,0.188388944
1978,1.456130028,2.791429758,4.81967783,6.888335228,5.462260723,5.542667866,3.106130838,6.995807648,7.272668839,6.815165043,3.107668161,3.895164728
1979,3.343549728,4.390001774,5.976453304,6.210001469,7.931613922,1.981669068,6.091938019,3.218387127,4.988334656,8.6983881,3.089334726,2.537420988
1980,4.530646324,3.485518932,3.598387718,3.877000332,3.549357653,3.299668789,1.387741566,3.01032424,3.354002953,4.163227081,4.933669567,0.824839413
1981,4.528065205,5.50214386,3.464840412,5.797668934,4.156128883,2.143333912,3.121936321,2.720002174,1.575667262,2.536453247,6.879000664,6.95483923
1982,3.761292458,3.053930998,9.999032974,8.928665161,5.372260571,1.838334203,3.66548562,4.148710728,6.150335312,4.556452274,6.62366724,2.343226194
1983,-1.835804105,5.723216057,5.279356003,5.954333782,1.58258152,2.258668423,3.997742653,5.550646305,3.101335764,5.026775837,7.052001476,1.676776528
1984,-0.829031646,0.360346824,5.663228035,5.391667366,4.737421989,3.023336172,2.600645542,1.733227611,4.876335144,6.379999638,6.654000759,0.457420111
1985,1.581614375,2.367858887,5.144517422,5.659667492,3.813871384,3.097668409,5.929680824,1.382903576,8.101667404,4.140646935,3.40833497,5.839355469
1986,1.341613293,2.028570414,5.486776829,6.668669224,0.388710767,4.333666325,1.790647388,5.667098999,7.655001163,6.557420254,4.215668201,3.687098265
1987,-0.568065047,3.505716085,5.348065853,4.865334511,2.606454611,2.254001379,1.21355021,6.084840298,3.668667078,4.78483963,6.367002487,4.273550034
1988,1.066774487,7.476555347,6.717420101,5.902001381,6.742581844,3.490333557,5.045485497,3.623228073,2.245334864,4.711615086,2.971000671,6.185485363
1989,3.806452036,8.174287796,7.308065891,3.811333656,6.828066826,4.855335712,7.080969334,4.651614189,4.588667393,6.684515953,3.466334581,0.259356111
1990,1.400323629,5.691430569,6.021936893,3.018334866,1.956130505,5.315000057,2.569679499,3.223872423,7.070335388,5.271291733,4.585001945,1.124196172
1991,6.440001011,6.183216095,4.23806715,4.7083354,5.621293068,4.70266819,4.090969086,7.482258797,6.265001297,6.084517479,4.662335873,1.197098732
1992,5.121291637,1.881726027,4.380646706,5.554667473,6.204195023,3.651334047,4.082904816,7.06322813,6.75433445,7.640324116,4.537667751,6.797420979
1993,-1.867741227,-0.73535645,1.523226857,3.586335182,7.69580698,6.430335045,4.868390083,4.552904129,3.927001953,5.006130695,5.261335373,2.355163574
1994,2.331614256,4.846427917,5.128065586,4.74500227,2.947420597,3.142001867,3.919034481,7.395486355,4.088000298,3.070646286,6.23633337,5.917420387
1995,3.782259464,6.057858467,4.874518394,7.324334145,7.155486107,2.673667431,0.745485365,3.148065329,3.205667734,4.72193718,7.126669884,4.670968533
1996,3.802581787,5.359656334,7.668386459,4.711668015,5.12484026,0.983335376,4.700969696,3.412904739,5.716667175,7.86741972,6.805335045,3.732903242
1997,4.040968895,4.287859917,8.80903244,4.293003559,6.833227634,3.897670507,3.95806694,4.657421112,3.106669664,2.900002241,4.495667458,3.525164127
1998,3.520970583,7.145001888,6.470002174,6.534668922,4.543872356,5.773667812,3.863227606,6.851935863,5.439668655,5.905162811,7.49366951,6.051290989
1999,6.191292763,3.677145243,4.825162411,5.324334621,4.658389568,1.454667687,2.946130991,3.785807848,3.366001844,6.353549004,4.663002014,7.070324421
2000,6.707098484,6.821726322,8.637421608,4.164002895,6.948068142,2.513000965,3.226132393,4.237743855,4.459668636,5.911614418,3.100667238,-0.380643785
2001,2.976131201,3.340358734,2.264518023,4.035336018,4.872904301,3.642002344,2.52451849,5.710969925,4.347670078,7.646774769,7.889001369,5.365485668
2002,4.820323944,6.978572369,0.218066305,3.496670008,2.910970926,3.687335253,2.073873281,2.68064642,4.45000124,1.595808506,0.778001904,3.967744827
2003,0.210969001,0.441430241,0.603872478,7.350669384,4.711291313,2.186002493,2.573228359,6.260970592,7.117669582,7.545163155,3.73533535,3.278389692
2004,7.072906494,4.583796024,6.061292648,-0.24399668,3.203550339,3.241001368,4.58935833,4.955486774,3.336002111,5.690648079,3.268002272,2.428388119
2005,5.338389397,7.135358334,5.068067551,6.02333498,6.176132679,5.736001968,2.880646229,4.685485363,6.212670326,0.682905138,4.007002354,1.690970659
2006,0.885485768,3.339289427,7.213551521,3.874336243,6.578711987,2.111668825,3.652261972,3.861293077,3.51666975,5.952260017,5.444669724,3.938713312
2007,2.587743521,3.681430817,3.01871419,1.543336511,1.061292052,2.61100316,-1.354836226,2.919679165,2.28233552,4.71548605,2.838668346,2.485163927
2008,4.231292248,5.464829445,6.519357204,4.492668152,1.857421398,3.978667736,5.352905273,4.353873253,4.800002098,5.573227882,5.071002483,5.850325108
2009,5.633227825,2.188930035,3.840002775,4.342335701,3.489356756,2.967335463,2.970970869,1.235164046,1.669669032,8.803549767,4.18666935,6.863550186
2010,0.705164254,2.128216982,6.270648479,4.151335239,2.863229036,2.448334694,5.216452599,5.624517441,4.80466938,7.948710918,7.644334316,6.929034233
2011,2.649678469,8.642501831,6.134840965,9.733337402,10.10548687,4.419001579,4.008067131,0.806453586,3.912669897,6.05516386,4.16300106,6.483872414
2012,4.141937256,6.720348358,2.430325508,6.147668362,3.830002308,3.701669216,0.945163369,6.017421722,5.271668911,7.100324631,3.727668285,2.562905073
2013,1.067100763,5.996073723,5.041615963,6.24600172,5.58355093,1.562002063,4.259356499,2.704841375,2.461335182,5.680325985,4.308668137,4.311937332
2014,-0.900321722,3.126787424,6.402583599,6.865335941,4.040002346,3.871335268,6.754840851,2.30193758,4.415001392,3.741131067,7.050001144,3.416936636
2015,2.193549395,8.333929062,6.013711452,7.420000553,5.213710785,3.453334808,7.444354534,5.454033852,3.757500887,3.273388147,6.888334274,1.728226423
2016,3.446775198,3.85172534,9.170163155,5.605834484,8.333871841,4.106667995,6.648388386,5.184678555,9.455834389,7.450000763,4.977500916,-2.18628931
2017,-2.057257414,4.740180016,2.745162725,4.59666729,6.618550301,0.596667647,2.888710499,7.527421474,5.819167614,4.940323353,7.334167957,4.464517117
2018,4.353226662,5.000000954,5.193549156,1.810834527,3.672581673,4.910834312,4.954839706,6.728227615,7.841667652,5.064517021,6.460834026,3.994355917
2019,5.314516544,0.262500793,3.192742825,3.173333883,4.239516735,2.441667795,3.501614571,1.046775222,6.179167271,3.807259321,3.975833654,3.570162296
2020,1.422581553,4.636208057,5.597581387,5.01083374,4.637904167,3.395000935,1.360484838,2.337097406,4.60333395,4.579839706,8.844166756,6.383064747
2021,5.268550396,7.252679348,5.541935921,5.037500858,6.608064651,3.648334026,0.508871853,3.928226709,7.015835285,5.541129112,7.960832596,8.594357491
