YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,PDO_Annual_Mean
1949,-2.01,-3.6,-1,-0.53,-1.07,-0.7,-0.56,-1.3,-0.93,-1.41,-0.83,-0.8,-1.163194444
1950,-2.13,-2.91,-1.13,-1.2,-2.23,-1.77,-2.93,-0.7,-2.14,-1.36,-2.46,-0.76,-1.783333333
1951,-1.54,-1.06,-1.9,-0.36,-0.25,-1.09,0.7,-1.37,-0.08,-0.32,-0.28,-1.68,-0.704930556
1952,-2.01,-0.46,-0.63,-1.05,-1,-1.43,-1.25,-0.6,-0.89,-0.35,-0.76,0.04,-0.770486111
1953,-0.57,-0.07,-1.12,0.05,0.43,0.29,0.74,0.05,-0.63,-1.09,-0.03,0.07,-0.122222222
1954,-1.32,-1.61,-0.52,-1.33,0.01,0.97,0.43,0.08,-0.94,0.52,0.72,-0.5,-0.205069444
1955,0.2,-1.52,-1.26,-1.97,-1.21,-2.44,-2.35,-2.25,-1.95,-2.8,-3.08,-2.75,-2.127361111
1956,-2.48,-2.74,-2.56,-2.17,-1.41,-1.7,-1.03,-1.16,-0.71,-2.3,-2.11,-1.28,-1.747847222
1957,-1.82,-0.68,0.03,-0.58,0.57,1.76,0.72,0.51,1.59,1.5,-0.32,-0.55,0.398125
1958,0.25,0.62,0.25,1.06,1.28,1.33,0.89,1.06,0.29,0.01,-0.18,0.86,0.676111111
1959,0.69,-0.43,-0.95,-0.02,0.23,0.44,-0.5,-0.62,-0.85,0.52,1.11,0.06,-0.086388889
1960,0.3,0.52,-0.21,0.09,0.91,0.64,-0.27,-0.38,-0.94,0.09,-0.23,0.17,0.037291667
1961,1.18,0.43,0.09,0.34,-0.06,-0.61,-1.22,-1.13,-2.01,-2.28,-1.85,-2.69,-0.983958333
1962,-1.29,-1.15,-1.42,-0.8,-1.22,-1.62,-1.46,-0.48,-1.58,-1.55,-0.37,-0.96,-1.147361111
1963,-0.33,-0.16,-0.54,-0.41,-0.65,-0.88,-1,-1.03,0.45,-0.52,-2.08,-1.08,-0.715486111
1964,0.01,-0.21,-0.87,-1.03,-1.91,-0.32,-0.51,-1.03,-0.68,-0.37,-0.8,-1.52,-0.835
1965,-1.24,-1.16,0.04,0.62,-0.66,-0.8,-0.47,0.2,0.59,-0.36,-0.59,0.06,-0.237013889
1966,-0.82,-0.03,-1.29,0.06,-0.53,0.16,0.26,-0.35,-0.33,-1.17,-1.15,-0.32,-0.429097222
1967,-0.2,-0.18,-1.2,-0.89,-1.24,-1.16,-0.89,-1.24,-0.72,-0.64,-0.05,-0.4,-0.778680556
1968,-0.95,-0.4,-0.31,-1.03,-0.53,-0.35,0.53,0.19,0.06,-0.34,-0.44,-1.27,-0.357777778
1969,-1.26,-0.95,-0.5,-0.44,-0.2,0.89,0.1,-0.81,-0.66,1.12,0.15,1.38,-0.001527778
1970,0.61,0.43,1.33,0.43,-0.49,0.06,-0.68,-1.63,-1.67,-1.39,-0.8,-0.97,-0.481458333
1971,-1.9,-1.74,-1.68,-1.59,-1.55,-1.55,-2.2,-0.15,0.21,-0.22,-1.25,-1.87,-1.240069444
1972,-1.99,-1.83,-2.09,-1.65,-1.57,-1.87,-0.83,0.25,0.17,0.11,0.57,-0.33,-0.832638889
1973,-0.46,-0.61,-0.5,-0.69,-0.76,-0.97,-0.57,-1.14,-0.51,-0.87,-1.81,-0.76,-0.832847222
1974,-1.22,-1.65,-0.9,-0.52,-0.28,-0.31,-0.08,0.27,0.44,-0.1,0.43,-0.12,-0.263055556
1975,-0.84,-0.71,-0.51,-1.3,-1.02,-1.16,-0.4,-1.07,-1.23,-1.29,-2.08,-1.61,-1.123472222
1976,-1.14,-1.85,-0.96,-0.89,-0.68,-0.67,0.61,1.28,0.82,1.11,1.25,1.22,0.104027778
1977,1.65,1.11,0.72,0.3,0.31,0.42,0.19,0.64,-0.55,-0.61,-0.72,-0.69,0.112569444
1978,0.34,1.45,1.34,1.29,0.9,0.15,-1.24,-0.56,-0.44,0.1,-0.07,-0.43,0.227152778
1979,-0.58,-1.33,0.3,0.89,1.09,0.17,0.84,0.52,1,1.06,0.48,-0.42,0.41125
1980,-0.11,1.32,1.09,1.49,1.2,-0.22,0.23,0.51,0.1,1.35,0.37,-0.1,0.661875
1981,0.59,1.46,0.99,1.45,1.75,1.69,0.84,0.18,0.42,0.18,0.8,0.67,0.945694444
1982,0.34,0.2,0.19,-0.19,-0.58,-0.78,0.58,0.39,0.84,0.37,-0.25,0.26,0.095347222
1983,0.56,1.14,2.11,1.87,1.8,2.36,3.51,1.85,0.91,0.96,1.02,1.69,1.739027778
1984,1.5,1.21,1.77,1.52,1.3,0.18,-0.18,-0.03,0.67,0.58,0.71,0.82,0.782291667
1985,1.27,0.94,0.57,0.19,0,0.18,1.07,0.81,0.44,0.29,-0.75,0.38,0.380763889
1986,1.12,1.61,2.18,1.55,1.16,0.89,1.38,0.22,0.22,1,1.77,1.77,1.249097222
1987,1.88,1.75,2.1,2.16,1.85,0.73,2.01,2.83,2.44,1.36,1.47,1.27,1.815902778
1988,0.93,1.24,1.42,0.94,1.2,0.74,0.64,0.19,-0.37,-0.1,-0.02,-0.43,0.498472222
1989,-0.95,-1.02,-0.83,-0.32,0.47,0.36,0.83,0.09,0.05,-0.12,-0.5,-0.21,-0.114930556
1990,-0.3,-0.65,-0.62,0.27,0.44,0.44,0.27,0.11,0.38,-0.69,-1.69,-2.23,-0.360486111
