Year,Population,Subrigion,RiverBasin,logspawners,logrecruits,spawn.error,rec.error,SummerSST,WinterSST,MarineCompetitorsIndex,IceConcentrationIndex,BodySize,Uwind,RiverIceBreakup,max5dprcp_stand,maxq_spawn,mean_swe_icu,mean_swe_rear,medq_rear,mnprcp_rear_stand,maxDaily_spawn_stand,maxDaily_migrate,cdd_rear
2013,Aniak,Kuskokwim,Kuskokwim,8.308439508,9.872025802,0.08739532,0.354746129,0.666952361,1.57609109,1.459631122,-1.116805185,-0.372254211,1.930878401,-0.747945671,-1.684317281,1.678262485,0.344275079,-1.29689495,-1.027909004,-0.536559168,0.941599661,1.227247535,0.184002189
1985,Carmacks,Yukon (CA),Yukon,8.295893558,9.062744797,0.189503767,0.362340899,0.048822006,0.258006668,-1.27917655,-1.125804589,0.503640325,-0.335565368,0.736646271,0.693389618,-0.448959139,0.6820772,0.836161028,2.040056362,0.335875493,-1.556788221,-0.359244882,-1.470000471
1986,Carmacks,Yukon (CA),Yukon,8.74730929,10.01280866,0.182087454,0.279004725,-0.291208909,-0.346118634,-1.295741835,0.044119074,0.223767349,0.533319712,-0.851150873,-0.77222713,0.417075693,0.836161028,-0.378983111,-0.143528251,-0.526840657,-1.470000471,-1.034022367,0.438589976
1987,Carmacks,Yukon (CA),Yukon,8.478465389,9.434905922,0.175393758,0.368862503,1.274494666,-0.168182843,-1.11856755,-0.333856261,2.133267458,2.009610415,-1.248100159,-0.978814316,0.699999334,-0.378983111,0.318684805,2.241761582,0.963914186,0.438589976,-0.58847819,-1.085550532
1988,Carmacks,Yukon (CA),Yukon,8.505272292,9.84552683,0.146923889,0.310446041,0.683777694,-0.450256782,-1.123159668,-0.315857452,1.229346002,0.183154663,-1.049625516,-0.201599691,0.425531689,0.318684805,0.251102252,-1.274082415,-0.82802821,-1.085550532,-0.296037085,0.227941704
1989,Carmacks,Yukon (CA),Yukon,8.333567398,9.87731176,0.192149243,0.328467309,2.252950972,-0.319203977,-1.163538411,0.035119662,2.077117343,1.905602694,-0.851150873,0.153558367,-1.11287225,0.251102252,2.234416383,0.121344439,1.032142236,0.227941704,0.800609648,-0.677081589
1990,Carmacks,Yukon (CA),Yukon,7.857603098,8.817518596,0.375963346,0.516904733,-0.481175159,-0.535051202,-0.409177252,0.755072677,0.605303195,1.412793001,0.538171628,1.772254644,-0.765119428,2.234416383,3.777688743,0.974105294,1.732024246,-0.677081589,1.397185183,-1.094791116
1991,Carmacks,Yukon (CA),Yukon,8.643127017,10.84485744,0.171788009,0.145347447,0.10173498,0.268640913,0.239678913,-0.459848028,0.519564766,1.764180422,-1.248100159,-0.468242033,0.391472892,3.777688743,0.428875761,0.623095144,-0.173664001,-1.094791116,1.974449605,-1.337337477
1992,Carmacks,Yukon (CA),Yukon,8.863456955,8.894566116,0.204705391,0.455268574,0.042750026,-0.840046133,0.662912275,-0.44184922,-1.061892755,1.299144904,-0.851150873,0.071896244,-0.478085347,0.428875761,-0.681488526,0.094785389,1.410237021,-1.337337477,-1.065689143,-0.817919878
1993,Carmacks,Yukon (CA),Yukon,8.555929139,9.878883437,0.15982108,0.261662774,0.348951334,0.768520328,0.87285227,0.521087951,-0.821515928,-1.330623288,-0.65267623,-0.503557236,-0.319535425,-0.681488526,0.680980129,-0.580675861,-0.958215652,-0.817919878,0.743147686,1.109362529
1994,Carmacks,Yukon (CA),Yukon,8.627874447,9.441677559,0.144306977,0.210670254,-1.117865699,-0.837131325,0.379401207,-0.92781748,0.891616251,-0.487292726,0.339696985,1.467947277,1.297204002,0.680980129,0.771770761,-0.927738067,0.353045876,1.109362529,0.26471576,1.705519581
1995,Carmacks,Yukon (CA),Yukon,8.974152995,8.566340453,0.181176605,0.389943213,-0.053534238,-0.972404924,0.133278485,0.431093828,1.664572407,0.651356856,-0.255726944,-0.079927607,-0.864947157,0.771770761,0.79229102,-0.729980792,-0.364832326,1.705519581,0.316801053,-1.033733765
