Project,,,Observation Year,Observation Month/Day,Location,Species,Fish Count,Fish Count,Run
"Eagle Escapement (Sonar, Yukon/Canadian Border Passage)",,,2007,07/14,Eagle Sonar (Yukon/Canadian Border),Chinook,1387,1387,Single Run
"Eagle Escapement (Sonar, Yukon/Canadian Border Passage)",,,2007,07/15,Eagle Sonar (Yukon/Canadian Border),Chinook,1949,1949,Single Run
"Eagle Escapement (Sonar, Yukon/Canadian Border Passage)",,,2007,07/16,Eagle Sonar (Yukon/Canadian Border),Chinook,2392,2392,Single Run
"Eagle Escapement (Sonar, Yukon/Canadian Border Passage)",,,2007,07/17,Eagle Sonar (Yukon/Canadian Border),Chinook,2752,2752,Single Run
"Eagle Escapement (Sonar, Yukon/Canadian Border Passage)",,,2007,07/18,Eagle Sonar (Yukon/Canadian Border),Chinook,2776,2776,Single Run
"Eagle Escapement (Sonar, Yukon/Canadian Border Passage)",,,2007,07/19,Eagle Sonar (Yukon/Canadian Border),Chinook,2568,2568,Single Run
"Eagle Escapement (Sonar, Yukon/Canadian Border Passage)",,,2007,07/20,Eagle Sonar (Yukon/Canadian Border),Chinook,2204,2204,Single Run
"Eagle Escapement (Sonar, Yukon/Canadian Border Passage)",,,2007,07/21,Eagle Sonar (Yukon/Canadian Border),Chinook,1702,1702,Single Run
"Eagle Escapement (Sonar, Yukon/Canadian Border Passage)",,,2007,07/22,Eagle Sonar (Yukon/Canadian Border),Chinook,1726,1726,Single Run
"Eagle Escapement (Sonar, Yukon/Canadian Border Passage)",,,2007,07/23,Eagle Sonar (Yukon/Canadian Border),Chinook,1478,1478,Single Run
"Eagle Escapement (Sonar, Yukon/Canadian Border Passage)",,,2007,07/24,Eagle Sonar (Yukon/Canadian Border),Chinook,1205,1205,Single Run
"Eagle Escapement (Sonar, Yukon/Canadian Border Passage)",,,2007,07/25,Eagle Sonar (Yukon/Canadian Border),Chinook,1058,1058,Single Run
"Eagle Escapement (Sonar, Yukon/Canadian Border Passage)",,,2007,07/26,Eagle Sonar (Yukon/Canadian Border),Chinook,1087,1087,Single Run
"Eagle Escapement (Sonar, Yukon/Canadian Border Passage)",,,2007,07/27,Eagle Sonar (Yukon/Canadian Border),Chinook,934,934,Single Run
"Eagle Escapement (Sonar, Yukon/Canadian Border Passage)",,,2007,07/28,Eagle Sonar (Yukon/Canadian Border),Chinook,1203,1203,Single Run
"Eagle Escapement (Sonar, Yukon/Canadian Border Passage)",,,2007,07/29,Eagle Sonar (Yukon/Canadian Border),Chinook,1417,1417,Single Run
"Eagle Escapement (Sonar, Yukon/Canadian Border Passage)",,,2007,07/30,Eagle Sonar (Yukon/Canadian Border),Chinook,1251,1251,Single Run
"Eagle Escapement (Sonar, Yukon/Canadian Border Passage)",,,2007,07/31,Eagle Sonar (Yukon/Canadian Border),Chinook,1296,1296,Single Run
"Eagle Escapement (Sonar, Yukon/Canadian Border Passage)",,,2007,08/01,Eagle Sonar (Yukon/Canadian Border),Chinook,1098,1098,Single Run
"Eagle Escapement (Sonar, Yukon/Canadian Border Passage)",,,2007,08/02,Eagle Sonar (Yukon/Canadian Border),Chinook,952,952,Single Run
"Eagle Escapement (Sonar, Yukon/Canadian Border Passage)",,,2007,08/03,Eagle Sonar (Yukon/Canadian Border),Chinook,983,983,Single Run
