Project,,,Observation Year,Observation Month/Day,Location,Species,Fish Count,Fish Count, CASE  WHEN Count Type = 'Counted Live' THEN 'Counted' ELSE Count Type END,Method
Goodnews River (Middle Fork) Escapement,,,1992,08/07,Goodnews River (Middle Fork),Chinook,6,6,Estimated,Weir
Goodnews River (Middle Fork) Escapement,,,1992,08/08,Goodnews River (Middle Fork),Chinook,5,5,Estimated,Weir
Goodnews River (Middle Fork) Escapement,,,1992,08/09,Goodnews River (Middle Fork),Chinook,5,5,Estimated,Weir
Goodnews River (Middle Fork) Escapement,,,1992,08/10,Goodnews River (Middle Fork),Chinook,4,4,Estimated,Weir
Goodnews River (Middle Fork) Escapement,,,1992,08/11,Goodnews River (Middle Fork),Chinook,3,3,Estimated,Weir
Goodnews River (Middle Fork) Escapement,,,1992,08/12,Goodnews River (Middle Fork),Chinook,3,3,Estimated,Weir
Goodnews River (Middle Fork) Escapement,,,1992,08/13,Goodnews River (Middle Fork),Chinook,2,2,Estimated,Weir
Goodnews River (Middle Fork) Escapement,,,1992,08/14,Goodnews River (Middle Fork),Chinook,2,2,Estimated,Weir
Goodnews River (Middle Fork) Escapement,,,1992,08/15,Goodnews River (Middle Fork),Chinook,2,2,Estimated,Weir
Goodnews River (Middle Fork) Escapement,,,1992,08/16,Goodnews River (Middle Fork),Chinook,1,1,Estimated,Weir
Goodnews River (Middle Fork) Escapement,,,1992,08/17,Goodnews River (Middle Fork),Chinook,1,1,Estimated,Weir
Goodnews River (Middle Fork) Escapement,,,1992,08/18,Goodnews River (Middle Fork),Chinook,1,1,Estimated,Weir
Goodnews River (Middle Fork) Escapement,,,1992,08/19,Goodnews River (Middle Fork),Chinook,1,1,Estimated,Weir
Goodnews River (Middle Fork) Escapement,,,1992,08/20,Goodnews River (Middle Fork),Chinook,1,1,Estimated,Weir
Goodnews River (Middle Fork) Escapement,,,1992,08/21,Goodnews River (Middle Fork),Chinook,1,1,Estimated,Weir
Goodnews River (Middle Fork) Escapement,,,1992,08/22,Goodnews River (Middle Fork),Chinook,0,0,Estimated,Weir
Goodnews River (Middle Fork) Escapement,,,1992,08/23,Goodnews River (Middle Fork),Chinook,0,0,Estimated,Weir
Goodnews River (Middle Fork) Escapement,,,1992,08/24,Goodnews River (Middle Fork),Chinook,0,0,Estimated,Weir
Goodnews River (Middle Fork) Escapement,,,1992,08/25,Goodnews River (Middle Fork),Chinook,0,0,Estimated,Weir
Goodnews River (Middle Fork) Escapement,,,1992,08/26,Goodnews River (Middle Fork),Chinook,0,0,Estimated,Weir
Goodnews River (Middle Fork) Escapement,,,1992,08/27,Goodnews River (Middle Fork),Chinook,0,0,Estimated,Weir
Goodnews River (Middle Fork) Escapement,,,1992,08/28,Goodnews River (Middle Fork),Chinook,0,0,Estimated,Weir
Goodnews River (Middle Fork) Escapement,,,1992,08/29,Goodnews River (Middle Fork),Chinook,0,0,Estimated,Weir
Goodnews River (Middle Fork) Escapement,,,1992,08/30,Goodnews River (Middle Fork),Chinook,0,0,Estimated,Weir
Goodnews River (Middle Fork) Escapement,,,1992,08/31,Goodnews River (Middle Fork),Chinook,0,0,Estimated,Weir
Goodnews River (Middle Fork) Escapement,,,1993,06/25,Goodnews River (Middle Fork),Chinook,66,66,Counted,Weir
Goodnews River (Middle Fork) Escapement,,,1993,06/26,Goodnews River (Middle Fork),Chinook,95,95,Counted,Weir
Goodnews River (Middle Fork) Escapement,,,1993,06/27,Goodnews River (Middle Fork),Chinook,26,26,Counted,Weir
Goodnews River (Middle Fork) Escapement,,,1993,06/28,Goodnews River (Middle Fork),Chinook,10,10,Counted,Weir
Goodnews River (Middle Fork) Escapement,,,1993,06/29,Goodnews River (Middle Fork),Chinook,36,36,Counted,Weir
Goodnews River (Middle Fork) Escapement,,,1993,06/30,Goodnews River (Middle Fork),Chinook,68,68,Counted,Weir
Goodnews River (Middle Fork) Escapement,,,1993,07/01,Goodnews River (Middle Fork),Chinook,32,32,Counted,Weir
Goodnews River (Middle Fork) Escapement,,,1993,07/02,Goodnews River (Middle Fork),Chinook,5,5,Counted,Weir
Goodnews River (Middle Fork) Escapement,,,1993,07/03,Goodnews River (Middle Fork),Chinook,9,9,Counted,Weir
Goodnews River (Middle Fork) Escapement,,,1993,07/04,Goodnews River (Middle Fork),Chinook,4,4,Counted,Weir
Goodnews River (Middle Fork) Escapement,,,1993,07/05,Goodnews River (Middle Fork),Chinook,15,15,Counted,Weir
Goodnews River (Middle Fork) Escapement,,,1993,07/06,Goodnews River (Middle Fork),Chinook,61,61,Estimated,Weir
Goodnews River (Middle Fork) Escapement,,,1993,07/07,Goodnews River (Middle Fork),Chinook,69,69,Estimated,Weir
Goodnews River (Middle Fork) Escapement,,,1993,07/08,Goodnews River (Middle Fork),Chinook,76,76,Estimated,Weir
Goodnews River (Middle Fork) Escapement,,,1993,07/09,Goodnews River (Middle Fork),Chinook,81,81,Estimated,Weir
Goodnews River (Middle Fork) Escapement,,,1993,07/10,Goodnews River (Middle Fork),Chinook,144,144,Counted,Weir
Goodnews River (Middle Fork) Escapement,,,1993,07/11,Goodnews River (Middle Fork),Chinook,153,153,Counted,Weir
Goodnews River (Middle Fork) Escapement,,,1993,07/12,Goodnews River (Middle Fork),Chinook,84,84,Counted,Weir
Goodnews River (Middle Fork) Escapement,,,1993,07/13,Goodnews River (Middle Fork),Chinook,99,99,Counted,Weir
Goodnews River (Middle Fork) Escapement,,,1993,07/14,Goodnews River (Middle Fork),Chinook,14,14,Counted,Weir
Goodnews River (Middle Fork) Escapement,,,1993,07/15,Goodnews River (Middle Fork),Chinook,19,19,Counted,Weir
Goodnews River (Middle Fork) Escapement,,,1993,07/16,Goodnews River (Middle Fork),Chinook,92,92,Counted,Weir
Goodnews River (Middle Fork) Escapement,,,1993,07/17,Goodnews River (Middle Fork),Chinook,93,93,Counted,Weir
Goodnews River (Middle Fork) Escapement,,,1993,07/18,Goodnews River (Middle Fork),Chinook,169,169,Counted,Weir
Goodnews River (Middle Fork) Escapement,,,1993,07/19,Goodnews River (Middle Fork),Chinook,31,31,Counted,Weir
Goodnews River (Middle Fork) Escapement,,,1993,07/20,Goodnews River (Middle Fork),Chinook,179,179,Counted,Weir
Goodnews River (Middle Fork) Escapement,,,1993,07/21,Goodnews River (Middle Fork),Chinook,39,39,Counted,Weir
Goodnews River (Middle Fork) Escapement,,,1993,07/22,Goodnews River (Middle Fork),Chinook,60,60,Counted,Weir
Goodnews River (Middle Fork) Escapement,,,1993,07/23,Goodnews River (Middle Fork),Chinook,32,32,Counted,Weir
Goodnews River (Middle Fork) Escapement,,,1993,07/24,Goodnews River (Middle Fork),Chinook,49,49,Counted,Weir
Goodnews River (Middle Fork) Escapement,,,1993,07/25,Goodnews River (Middle Fork),Chinook,11,11,Counted,Weir
Goodnews River (Middle Fork) Escapement,,,1993,07/26,Goodnews River (Middle Fork),Chinook,31,31,Counted,Weir
Goodnews River (Middle Fork) Escapement,,,1993,07/27,Goodnews River (Middle Fork),Chinook,5,5,Counted,Weir
Goodnews River (Middle Fork) Escapement,,,1993,07/28,Goodnews River (Middle Fork),Chinook,7,7,Counted,Weir
Goodnews River (Middle Fork) Escapement,,,1993,07/29,Goodnews River (Middle Fork),Chinook,23,23,Counted,Weir
Goodnews River (Middle Fork) Escapement,,,1993,07/30,Goodnews River (Middle Fork),Chinook,1,1,Counted,Weir
Goodnews River (Middle Fork) Escapement,,,1993,07/31,Goodnews River (Middle Fork),Chinook,21,21,Counted,Weir
Goodnews River (Middle Fork) Escapement,,,1993,08/01,Goodnews River (Middle Fork),Chinook,5,5,Counted,Weir
Goodnews River (Middle Fork) Escapement,,,1993,08/02,Goodnews River (Middle Fork),Chinook,0,0,Counted,Weir
Goodnews River (Middle Fork) Escapement,,,1993,08/03,Goodnews River (Middle Fork),Chinook,0,0,Counted,Weir
Goodnews River (Middle Fork) Escapement,,,1993,08/04,Goodnews River (Middle Fork),Chinook,17,17,Counted,Weir
Goodnews River (Middle Fork) Escapement,,,1993,08/05,Goodnews River (Middle Fork),Chinook,6,6,Counted,Weir
Goodnews River (Middle Fork) Escapement,,,1993,08/06,Goodnews River (Middle Fork),Chinook,20,20,Counted,Weir
Goodnews River (Middle Fork) Escapement,,,1993,08/07,Goodnews River (Middle Fork),Chinook,24,24,Counted,Weir
Goodnews River (Middle Fork) Escapement,,,1993,08/08,Goodnews River (Middle Fork),Chinook,8,8,Counted,Weir
Goodnews River (Middle Fork) Escapement,,,1993,08/09,Goodnews River (Middle Fork),Chinook,4,4,Counted,Weir
Goodnews River (Middle Fork) Escapement,,,1993,08/10,Goodnews River (Middle Fork),Chinook,2,2,Counted,Weir
Goodnews River (Middle Fork) Escapement,,,1993,08/11,Goodnews River (Middle Fork),Chinook,3,3,Counted,Weir
Goodnews River (Middle Fork) Escapement,,,1993,08/12,Goodnews River (Middle Fork),Chinook,7,7,Counted,Weir
Goodnews River (Middle Fork) Escapement,,,1993,08/13,Goodnews River (Middle Fork),Chinook,0,0,Counted,Weir
Goodnews River (Middle Fork) Escapement,,,1993,08/14,Goodnews River (Middle Fork),Chinook,6,6,Counted,Weir
Goodnews River (Middle Fork) Escapement,,,1993,08/15,Goodnews River (Middle Fork),Chinook,3,3,Counted,Weir
Goodnews River (Middle Fork) Escapement,,,1993,08/16,Goodnews River (Middle Fork),Chinook,0,0,Counted,Weir
Goodnews River (Middle Fork) Escapement,,,1993,08/17,Goodnews River (Middle Fork),Chinook,7,7,Counted,Weir
Goodnews River (Middle Fork) Escapement,,,1993,08/18,Goodnews River (Middle Fork),Chinook,6,6,Counted,Weir
