name,year,doy,mean_swe_kgm2,min_swe_kgm2,max_swe_kgm2,sum_swe_kgm2,count,nodata_count
Wolf,2008,92,234.6395396399546,121.94999694824219,523.47998046875,932926.8096084595,3976,0.0
Kisaralik,2008,92,202.6233873765408,111.30000305175781,439.6099853515625,548501.5096282959,2707,0.0
Klondike,2008,92,155.79807570026392,57.689998626708984,257.1400146484375,1339084.4606437683,8595,0.0
Unalakleet,2008,92,176.95352469802444,81.58000183105469,378.5400085449219,1011112.4401245117,5714,0.0
Salcha,2008,92,85.09554763109888,18.1200008392334,173.8000030517578,526741.4398365021,6190,0.0
McQuesten,2008,92,165.40535974669484,71.19999694824219,279.92999267578125,850514.3598175049,5142,0.0
Tatlawiksuk,2008,92,148.2314384626964,105.05000305175781,261.1400146484375,298834.5799407959,2016,0.0
Pitka,2008,92,213.05238575590397,127.75,473.9800109863281,415239.09983825684,1949,0.0
Chena,2008,92,65.53874033789224,34.2400016784668,123.18000030517578,407388.80994033813,6216,0.0
SouthMacmillan,2008,92,79.31313629571905,43.959999084472656,115.41999816894531,430670.3300857544,5430,0.0
Swift,2008,92,170.49499997016167,100.76000213623047,332.7200012207031,1072413.549812317,6290,0.0
Kwethluk,2008,92,154.31912499124354,108.30999755859375,406.1700134277344,543203.3199691772,3520,0.0
LittleSalmon,2008,92,64.78983457376557,39.65999984741211,104.80999755859375,242897.08981704712,3749,0.0
Nisling,2008,92,114.3632381611256,67.36000061035156,310.3599853515625,1029497.8699264526,9002,0.0
Takhini,2008,92,509.7728649326785,77.2300033569336,2326.820068359375,4203077.271369934,8245,0.0
Takotna,2008,92,147.4442754817112,87.33999633789062,365.1300048828125,887319.649848938,6018,0.0
Nisutlin,2008,92,152.59716209826797,86.05999755859375,246.0800018310547,521577.1000518799,3418,0.0
EFAndreafsky,2008,92,127.07197456509753,78.66999816894531,221.5500030517578,258718.54021453857,2036,0.0
BigSalmon,2008,92,102.5123341045336,44.88999938964844,199.17999267578125,716766.2400588989,6992,0.0
Aniak,2008,92,220.39185061583026,124.94000244140625,424.04998779296875,1097992.1997680664,4982,0.0
Ross,2008,92,109.18822281339364,63.279998779296875,182.3300018310547,844789.2799072266,7737,0.0
YukonMainstem,2008,92,245.2540370288054,39.65999984741211,3878.7900390625,23319489.602809906,95083,0.0
Holokuk,2008,92,187.975180126995,106.55000305175781,361.92999267578125,219179.06002807617,1166,0.0
George,2008,92,120.92778294763286,77.97000122070312,211.57000732421875,443442.1800689697,3667,0.0
