SiteID,Waterbody_name,years_lst,Latitude,Longitude
usgs_15484000,SALCHA R NR SALCHAKET AK,"2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022",64.47152777999999,-146.9280556
usgs_15493000,CHENA R NR TWO RIVERS AK,"2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021",64.90197220000003,-146.3613333
usgs_15515500,TANANA R AT NENANA AK,"2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021",64.56494440000002,-149.094
usgs_15518900,TOLOVANA R NR LIVENGOOD AK,"2010, 2011, 2012, 2013",65.47151429000002,-148.2688894
usgs_15519030,LIVENGOOD C AT LIVENGOOD AK,"2019, 2020, 2021",65.52297220000001,-148.5463889
usgs_15519100,TOLOVANA R BL ROSEBUD C NR LIVENGOOD AK,"2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022",65.4648407,-148.6311143
usgs_15564860,YUKON R AT GALENA AK,2021,64.73687530000004,-156.8941483
usgs_15564879,SLATE C AT COLDFOOT AK,"1998, 1999, 2000, 2001, 2002, 2003, 2004, 2005, 2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021",67.25444439999998,-150.1772222
usgs_15565400,ANVIK R NR ANVIK AK,"2002, 2003, 2004, 2005, 2006",62.788721100000004,-160.699352
usgs_15565447,YUKON R AT PILOT STATION AK,"1976, 1978, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021",61.93368660000001,-162.8829356
usgs_15565700,UNALAKLEET R AB CHIROSKEY R NR UNALAKLEET AK,"1998, 1999, 2000, 2001, 2002, 2003, 2004, 2005, 2006, 2007",63.93429650000001,-160.3074725
usgs_15580095,NIUKLUK R AB MELSING C AT COUNCIL AK,"2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021",64.89194439999999,-163.67
